,stock_date,company_name,stock_price
2,2020-05-05,SBIN,170.4
3,2020-05-06,SBIN,171.1
4,2020-05-07,SBIN,170.75
5,2020-05-08,SBIN,166.65
6,2020-05-11,SBIN,165.45
7,2020-05-12,SBIN,166.9
8,2020-05-13,SBIN,174.1
9,2020-05-14,SBIN,167.95
10,2020-05-15,SBIN,166.4
11,2020-05-18,SBIN,155.3
12,2020-05-19,SBIN,152.8
13,2020-05-20,SBIN,153.4
14,2020-05-21,SBIN,151.95
15,2020-05-22,SBIN,150.85
16,2020-05-26,SBIN,151.4
17,2020-05-27,SBIN,158.6
18,2020-05-28,SBIN,158.2
19,2020-05-29,SBIN,161.3
20,2020-06-01,SBIN,170.05
21,2020-06-02,SBIN,170.25
22,2020-06-03,SBIN,174.9
23,2020-06-04,SBIN,174.05
24,2020-06-05,SBIN,187.8
25,2020-06-08,SBIN,186.8
26,2020-06-09,SBIN,184.45
27,2020-06-10,SBIN,187.7
28,2020-06-11,SBIN,177.15
29,2020-06-12,SBIN,179.15
30,2020-06-15,SBIN,173.7
31,2020-06-16,SBIN,172.9
32,2020-06-17,SBIN,172.95
33,2020-06-18,SBIN,179.65
34,2020-06-19,SBIN,184.5
35,2020-06-22,SBIN,187.7
36,2020-06-23,SBIN,192.45
37,2020-06-24,SBIN,184.6
38,2020-06-25,SBIN,185.25
39,2020-06-26,SBIN,184.6
40,2020-06-29,SBIN,179.25
41,2020-06-30,SBIN,178.45
42,2020-07-01,SBIN,184.8
43,2020-07-02,SBIN,185.45
44,2020-07-03,SBIN,184.7
45,2020-07-06,SBIN,188.05
46,2020-07-07,SBIN,188.6
47,2020-07-08,SBIN,191.9
48,2020-07-09,SBIN,199.1
49,2020-07-10,SBIN,195.6
50,2020-07-13,SBIN,192.7
51,2020-07-14,SBIN,186.05
52,2020-07-15,SBIN,183.8
53,2020-07-16,SBIN,186.25
54,2020-07-17,SBIN,188.2
55,2020-07-20,SBIN,190.75
56,2020-07-21,SBIN,194.4
57,2020-07-22,SBIN,192.0
58,2020-07-23,SBIN,198.25
59,2020-07-24,SBIN,191.95
60,2020-07-27,SBIN,187.15
61,2020-07-28,SBIN,189.45
62,2020-07-29,SBIN,191.2
63,2020-07-30,SBIN,186.55
64,2020-07-31,SBIN,191.45
65,2020-08-03,SBIN,192.25
66,2020-08-04,SBIN,191.6
67,2020-08-05,SBIN,191.45
68,2020-08-06,SBIN,190.95
69,2020-08-07,SBIN,190.65
70,2020-08-10,SBIN,193.8
71,2020-08-11,SBIN,195.05
72,2020-08-12,SBIN,203.3
73,2020-08-13,SBIN,201.9
74,2020-08-14,SBIN,196.5
75,2020-08-17,SBIN,193.1
76,2020-08-18,SBIN,195.1
77,2020-08-19,SBIN,197.05
78,2020-08-20,SBIN,194.75
79,2020-08-21,SBIN,198.4
80,2020-08-24,SBIN,201.45
81,2020-08-25,SBIN,207.95
82,2020-08-26,SBIN,209.85
83,2020-08-27,SBIN,215.65
84,2020-08-28,SBIN,224.85
85,2020-08-31,SBIN,212.0
86,2020-09-01,SBIN,218.1
87,2020-09-02,SBIN,216.25
88,2020-09-03,SBIN,213.15
89,2020-09-04,SBIN,206.6
90,2020-09-07,SBIN,207.9
91,2020-09-08,SBIN,204.05
92,2020-09-09,SBIN,194.85
93,2020-09-10,SBIN,198.15
94,2020-09-11,SBIN,202.7
95,2020-09-14,SBIN,198.5
96,2020-09-15,SBIN,200.15
97,2020-09-16,SBIN,198.2
98,2020-09-17,SBIN,195.45
99,2020-09-18,SBIN,192.6
100,2020-09-21,SBIN,185.8
101,2020-09-22,SBIN,186.2
102,2020-09-23,SBIN,183.8
103,2020-09-24,SBIN,176.35
104,2020-09-25,SBIN,182.2
105,2020-09-28,SBIN,187.25
106,2020-09-29,SBIN,185.05
107,2020-09-30,SBIN,185.4
108,2020-10-01,SBIN,190.3
109,2020-10-05,SBIN,188.75
110,2020-10-06,SBIN,191.6
111,2020-10-07,SBIN,190.7
112,2020-10-08,SBIN,191.5
113,2020-10-09,SBIN,198.3
114,2020-10-12,SBIN,198.7
115,2020-10-13,SBIN,195.7
116,2020-10-14,SBIN,200.05
117,2020-10-15,SBIN,192.85
118,2020-10-16,SBIN,195.95
119,2020-10-19,SBIN,204.0
120,2020-10-20,SBIN,203.05
121,2020-10-21,SBIN,203.75
122,2020-10-22,SBIN,203.3
123,2020-10-23,SBIN,202.8
124,2020-10-26,SBIN,196.7
125,2020-10-27,SBIN,194.65
126,2020-10-28,SBIN,190.45
127,2020-10-29,SBIN,188.7
128,2020-10-30,SBIN,189.25
129,2020-11-02,SBIN,196.05
130,2020-11-03,SBIN,204.75
131,2020-11-04,SBIN,207.0
132,2020-11-05,SBIN,218.65
133,2020-11-06,SBIN,219.2
134,2020-11-09,SBIN,219.5
135,2020-11-10,SBIN,231.7
136,2020-11-11,SBIN,234.2
137,2020-11-12,SBIN,226.8
138,2020-11-13,SBIN,229.45
139,2020-11-14,SBIN,229.65
140,2020-11-17,SBIN,240.2
141,2020-11-18,SBIN,252.0
142,2020-11-19,SBIN,239.75
143,2020-11-20,SBIN,242.75
144,2020-11-23,SBIN,238.7
145,2020-11-24,SBIN,243.85
146,2020-11-25,SBIN,243.0
147,2020-11-26,SBIN,245.45
148,2020-11-27,SBIN,244.25
149,2020-12-01,SBIN,248.05
150,2020-12-02,SBIN,246.95
151,2020-12-03,SBIN,256.3
152,2020-12-04,SBIN,263.5
153,2020-12-07,SBIN,269.6
154,2020-12-08,SBIN,271.9
155,2020-12-09,SBIN,270.35
156,2020-12-10,SBIN,269.55
157,2020-12-11,SBIN,272.45
158,2020-12-14,SBIN,274.2
159,2020-12-15,SBIN,270.65
160,2020-12-16,SBIN,269.4
161,2020-12-17,SBIN,267.7
162,2020-12-18,SBIN,271.45
163,2020-12-21,SBIN,254.7
164,2020-12-22,SBIN,257.45
165,2020-12-23,SBIN,263.0
166,2020-12-24,SBIN,266.85
167,2020-12-28,SBIN,275.2
168,2020-12-29,SBIN,277.9
169,2020-12-30,SBIN,276.9
170,2020-12-31,SBIN,274.95
171,2021-01-01,SBIN,279.4
172,2021-01-04,SBIN,281.05
173,2021-01-05,SBIN,281.75
174,2021-01-06,SBIN,285.05
175,2021-01-07,SBIN,287.7
176,2021-01-08,SBIN,286.0
177,2021-01-11,SBIN,282.5
178,2021-01-12,SBIN,292.5
179,2021-01-13,SBIN,306.8
180,2021-01-14,SBIN,307.25
181,2021-01-15,SBIN,303.85
182,2021-01-18,SBIN,294.45
183,2021-01-19,SBIN,298.6
184,2021-01-20,SBIN,302.55
185,2021-01-21,SBIN,294.85
186,2021-01-22,SBIN,283.7
187,2021-01-25,SBIN,280.95
188,2021-01-27,SBIN,275.65
189,2021-01-28,SBIN,282.35
190,2021-01-29,SBIN,282.1
191,2021-02-01,SBIN,310.7
192,2021-02-02,SBIN,333.1
193,2021-02-03,SBIN,335.95
194,2021-02-04,SBIN,355.1
195,2021-02-05,SBIN,393.1
196,2021-02-08,SBIN,397.05
197,2021-02-09,SBIN,394.8
198,2021-02-10,SBIN,392.25
199,2021-02-11,SBIN,390.15
200,2021-02-12,SBIN,393.15
201,2021-02-15,SBIN,406.95
202,2021-02-16,SBIN,402.35
203,2021-02-17,SBIN,411.75
204,2021-02-18,SBIN,415.2
205,2021-02-19,SBIN,399.55
206,2021-02-22,SBIN,389.5
207,2021-02-23,SBIN,395.6
208,2021-02-24,SBIN,406.25
209,2021-02-25,SBIN,407.25
210,2021-02-26,SBIN,390.15
211,2021-03-01,SBIN,394.95
212,2021-03-02,SBIN,394.2
213,2021-03-03,SBIN,405.05
214,2021-03-04,SBIN,395.65
215,2021-03-05,SBIN,383.65
216,2021-03-08,SBIN,389.6
217,2021-03-09,SBIN,387.6
218,2021-03-10,SBIN,387.7
219,2021-03-12,SBIN,381.1
